gas_used, gas_price
113848,1000000000
138148,1000000000
128493,33069455209
121911,1500000000
118383,65576438228
110334,15201162294
123025,5317945447
48897,1354307963
200580,1163747380
165537,475075592544
85340,0
256507,2000000000
75575,817460648322
103702,46273547668
115325,52707646687
120474,36398353668
117944,39747054331
21000,0
272576,33417245011
705901,2598674039
535785,2598674039
355711,102956421431
317998,7457872052
143204,286942940238
166965,1500000000
123733,602107325809
118821,85286559846
129426,48348296990
111753,212388967893
316422,0
249665,1500000000
267501,660331447870
141764,75651572153
21000,13840019864
124044,12145571464
30416,1622518067
172972,1622518067
112817,58026552067
54146,1408152059
60311,1189060689
21000,0
118813,113079834349
118900,73039003495
118086,46837610416
21000,0
193566,3922303795
110274,12820587100
236103,8084138580
27938,1177452148
179429,1618856927
136093,8632323117
245481,8147270053
240123,5855171978
101903,2000000000
111723,1500000000
60311,1163845111
60311,1354535441
205274,1163845111
143177,929084563383
182336,1500000000
289565,95525505766
146414,35842272499
120204,30960266819
171619,23901450701
270580,9835614512
193595,1960000000
217377,1834766261
45038,1324426211
27938,1922112423
143173,463630378633
112737,216097705953
153332,135184005644
109983,56363105984
113188,26734299001
124375,58486623889
486167,7118419551
27938,1162929164
21000,63051322675
114810,18743974765
21000,12754737943
229923,7500000000
65625,7160000000
105355,2532614650
123902,143594324970
146519,45477085162
153986,43332965818
116300,38325450558
158527,293253565569
860212,118813386056
44821,29857097481
103618,29097732692
183191,28149288677
118930,18843258294
156771,17305783222
228630,2567837970
69834,1775042659
237288,9003807299
201387,9003691050
206825,13194643488
337482,7826292815
123894,228414208983
489171,56483147314
276968,2004597037
102054,2001601507
102494,2001312436
90346,2001264053
90785,2000948984
121222,177053721707
153902,149354979835
109958,111754197916
148621,6000000000
145776,1000000000
164686,177944293320
148853,153914698616
119024,42465184672
133505,20275944721
139603,1178761572
196020,93183133714
286054,37773730852
399905,5437191014
1236748,2327086076
537744,1486888961
236914,1302723831
27938,1000000000
46702,1486888961
182030,1302723831
40411,1543210710
206001,1543210710
202886,1302723831
21000,72372976066
114366,2000000000
21000,23226678203
46097,23226678203
21000,17629169919
21000,11496678203
21000,6382000000
65625,6382000000
54237,6250000000
189471,6000000000
485852,4030006073
146465,5142406554
109808,112302099503
421554,1000000000
515270,109506618222
121437,1000000000
104863,47014714433
128717,343421855754
121217,94073815013
123968,67935711333
109078,52901042658
120320,44198522377
101975,2146687073
236811,51799310303
113164,31059428299
123847,226872140676
153818,204775670714
142107,160097494974
133761,349344442700
292184,43491075470
369559,620
135945,9002767067
109734,27186811902
21000,4000000000
32128,14147194311
47095,14147194311
203801,2054967238
21000,0
21000,0
165619,84262295968
38304,99654136925
40149,99654136925
47280,40494136925
49696,36534136925
27603,28230307592
46097,28154136925
213271,27654136925
116387,27212338456
165573,126513958569
323492,20468279370
357897,12678680382
122071,4791877639
221771,9001318387
127321,1754070569
187328,1000000001
178911,1500000000
186486,4228980155095
97131,1100000000
122812,2000000000
31015,2000132726100
103594,230907255701
255765,3922303795
184063,2202000000
146441,1918361614389
116011,16824208951
87242,0
548466,2000000000
78198,3247773926255
245541,40000000000
121840,35311775590
136326,24992770885
198817,7300075457
127133,1000000000
102247,5000000000
89816,330321788509
146780,50842335378
123917,216743330122
209343,0
165370,2000000000
192219,450261104917
109351,16275797263
21000,0
118770,34512791445
235993,33094673628
158189,30727215935
121298,24804632043
104971,24541577866
156080,16219530897
110335,8873081783
46581,54962929928
87365,50179830991
194001,40000000000
156082,36914732156
212047,3000000314
36330,3000000000
216274,9001134259
270313,9000926827
86037,0
270041,2000000000
77392,346299245910
89713,9999
320760,1500000000
79702,271234270877
124903,0
212171,1500000000
123316,108677205184
180309,267011577477
112085,0
277849,2000000000
108856,164002660172
152096,4000000000
21000,52328389285
47280,35728389285
136089,16739394089
34533,16529590874
21000,16328389285
21000,16328389285
63209,6625563324
21000,6220036101
21000,5400131346
226101,4019773562
239523,84704672778
161640,25918596068
172170,1000000000
229470,72263022701
149401,12332180673
269585,7248175148
46663,2500000000
136119,1858237276
136123,1520718651
125767,174505611572
154064,157140828997
159817,114775722273
190570,1010000000
168178,123442756792
51729,1000000000
101399,59785878559
128725,44678324148
162646,38004590942
129021,32220596270
139685,30941441761
110028,26789997440
105495,20000000000
154104,20000000000
115127,19953029212
189108,19943386143
134508,19623922431
119887,14770955197
211091,11232581328
34685,8185982707
223584,10492470850
153808,56930492569
21000,48735647421
103618,28294772421
114056,0
100977,5000000000
104294,74930154736
165484,20000000000
286035,19044418747
113601,11321623301
