gas_used, gas_price
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
38793,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
129613,414036643986
154092,226572930900
136081,90504896313
121247,55288737094
118922,9124892450
104428,5541128469
321680,4422987581
153810,170215232228
121265,63148987952
109983,37908556536
159271,14150246805
246167,8679783125
183169,6812485613
21000,10
49689,8010028152
274808,5483482174
123792,109202612752
177857,44857422935
257626,43960614278
130175,22300580232
121233,19948463400
307976,16911285759
296729,13077657110
159489,807892812020
123852,766778938103
128327,239822171580
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
46812,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
165524,110408965525
185180,1000000000
123866,48253470874
298354,34541980193
110009,32932774967
113188,25037973007
113510,2387315397
156745,22478858866
21000,0
21000,0
123856,272277775340
123823,166376956862
118823,115716165300
118754,73622738191
121204,64827589273
122608,23815704038
101988,2039957872
232304,29248979912
108695,12751439760
142281,373723085668
116300,42393474634
264210,19818146676
116882,9873414947
419511,6416565500
118868,7378146367
98404,2017871137
205868,1553633333
69834,1546316715
135990,87438856357
154242,16126806494
199325,7629909264
420725,1610066403
21000,65956074104
21000,29958755820
139842,20000000000
130488,20643124271
174842,12777412159
101606,4797607096
296912,3663949104
128512,1127056054
272654,3235687643
112829,362918425930
112773,277423209568
98348,9436956887
113155,3131442668
196039,11933696278187
120866,5720438664752
120810,3407815026995
107008,1355840309999
148658,2577219461369
123856,525258568090
175404,2669266602
366416,109629013639
159897,399725794543
112871,476856053490
343503,18319048320
112891,628358786055
223616,142632103217
308526,97992910511
460927,2000000000
264025,51256752173
34685,46174126569
284427,22470460881
189058,4003899904
253878,3922303795
104890,15615666107
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
281377,55811169657
218965,9003765170
129403,38099302477
262319,13415957159
314427,12652956732
240193,2424402000
148727,7863425887
144194,1000000000
160729,505918320264
143843,0
182893,1500000000
129774,249551067134
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
21000,0
41124,0
21000,0
21000,0
21000,4299047421
21000,385959066095
119007,45000000000
130805,1000000000
109384,31236207357
272576,30261721274
359948,21381663015
254120,7057474466
21000,82565385794
63209,35527419796
194283,35000000000
228725,120
170809,9004357313
106563,155614698771
98818,21176582661
154143,274317353546
226189,1500000000
134129,467475028345
85732,0
97825,1500000000
75967,361669524928
133805,56892812675
60353,10468868181
165663,42663240827
30416,1829727759
216509,1436917673
187738,1436917673
118190,11463405971
111302,1099999932
258740,1500000000
31015,101051636237
202601,4671825809
21000,2000000000
66410,2000000000
161938,85390140719
140580,27494690272
281322,11063630076
123813,516259216330
115503,90936975800
21000,0
202127,17586613817
104908,19146724642
