gas_price,gas_used,nonce
6277783899,350000,15758,1
120000000000,500000,60,1
11972772853,300015,105054,1
11972772853,300015,62004,1
16215650328,330339,894,1
11250407311,63589,200,1
33416441649,400000,13038,1
94172124402,500000,19493,1
11157153321,337500,15,1
12446760564,251224,92054,1
14752254463,500002,52681,1
18795347629,230971,68110,1
24010000000,745030,7763,1
7376722441,275800,68109,1
9582759363,63605,160,1
11073767346,244344,89586,1
12787919224,300015,62003,1
8543756119,63605,25,1
18532037037,161166,221033,1
59915190678,230244,41656,1
22010000000,745030,7762,1
6919621437,274556,41655,1
40523375465,300000,162464,1
9286029881,45038,911,1
14630957836,86074,4573,1
8393065061,2042005,1148,1
7612924450,580000,29,1
12722084263,463021,16,1
85494253835,240000,644,1
12722084263,181272,849,1
71366908129,179263,4908,1
14563907632,171981,600,1
112054903284,224715,1646,1
60297200656,400000,5446,1
96501108961,500000,51819,1
1198448148148,300000,221032,1
5960363173637,280741,42663,1
35146782691,425086,223,1
8604675369,2000001,42662,1
12805059259,300000,221031,1
16000000000,21000,1871,1
40422704788,185898,4907,1
13968982514,257276,89585,1
8573655821,264796,6282,1
20000000000,340000,0,1
13000000000,330000,143,1
17665789741,300000,162463,1
15652052722,300003,5696,1
37288868534,249160,33872,1
13172819999,230692,1593,1
7390533901,280082,33871,1
10611196312,286784,77,1
13848156633,46663,206,1
13848156633,86050,4572,1
14270933581,350000,15757,1
9646533332,184899,869,1
8269477096,350000,15756,1
11672326555,303667,671,1
12233550584,500000,413875,1
12424231360,51517,205,1
12969799998,248098,76152,1
18937639914,500000,1777,1
12969799998,238234,93012,1
27202912779,177483,41777,1
10510248249,439419,11784,1
10742555976,570395,242,1
18855041242,262072,3322,1
12021317676,395526,458,1
9351098064,300160,3321,1
28000000000,188640,4571,1
21000000000,36900,10,1
25000000000,70000,14,1
30000000000,420000,2173872,1
30000000000,55000,42,1
40000000000,44500,0,1
50000000000,21000,75,1
150000000000,400000,9303,1
150000000000,400000,9302,1
14919942404,46113,204,1
26618621172,500000,1492837,1
53617393435,21000,2717496,1
23352111745,65000,1,1
15000000000,150000,8,1
15000000000,21000,266,1
16071172703,21000,2,1
33000000000,210000,797525,1
12606375774,63301,48,1
11716115079,152357,4358,1
13665589604,63574,21,1
16330947330,313421,7,1
17964058394,85495,6,1
14919942404,288017,28,1
14610068383,46619,203,1
25764034396,200000,1306,1
20308432410,500001,8026,1
16084059156,264735,11117,1
15231324307,255946,100418,1
39407732849,500000,2485,1
82123590863,300002,62002,1
163334810881,300002,162459,1
13805258601,63620,6,1
13006995101,317362,399,1
17740913046,339836,45,1
19515022092,61228,44,1
15870579613,305808,10,1
16128088107,85405,43,1
18506439468,251360,76456,1
94557029860,178966,33870,1
14661884950,247924,32,1
12337626312,198994,33869,1
15870579613,48673,9,1
15870579613,45038,0,1
18658637889,500000,4667,1
24814162098,277637,303,1
13116157651,328349,252,1
13116157651,320842,4,1
14427786532,63419,3,1
19064481291,374734,1718,1
16066742647,250000,1124,1
158643987844,171263,85518,1
12650000000,211973,35,1
10923768842,184350,85517,1
84201750000,21002,8025,1
975166582260,249136,33868,1
17464062899,303523,3598,1
10923768842,280458,33867,1
21341503179,300003,162456,1
25882414302,730000,107,1
27063976874,253969,24647,1
17505400393,250512,10530,1
18955780656,600000,1728,1
14919124702,397182,14508,1
71050727522,500000,4199,1
16775124634,302210,76454,1
10968212266,138939,50,1
10968212266,138939,115,1
14479015203,106876,288,1
11789099611,46267,27,1
14407741743,63286,210,1
17094168275,294833,40,1
17681291374,914008,9603,1
14623274482,167737,286,1
13210308379,150945,22928,1
13430303090,439212,3690,1
14916963057,244600,89648,1
14916963057,237074,76453,1
50513234729,141606,85516,1
14479015203,331381,27,1
8840645687,146017,85515,1
13260968530,945180,103045,1
13260968530,246392,110225,1
13260968530,216514,111404,1
83508721481,249112,33866,1
8840645687,280034,33865,1
13260968530,248274,93010,1
