gas_price,gas_used,nonce
13116157651,320842,4
14427786532,63419,3
19064481291,374734,1718
16066742647,250000,1124
158643987844,171263,85518
12650000000,211973,35
10923768842,184350,85517
84201750000,21002,8025
975166582260,249136,33868
17464062899,303523,3598
10923768842,280458,33867
21341503179,300003,162456
25882414302,730000,107
27063976874,253969,24647
17505400393,250512,10530
18955780656,600000,1728
14919124702,397182,14508
71050727522,500000,4199
16775124634,302210,76454
10968212266,138939,50
10968212266,138939,115
14479015203,106876,288
11789099611,46267,27
14407741743,63286,210
17094168275,294833,40
17681291374,914008,9603
14623274482,167737,286
13210308379,150945,22928
13430303090,439212,3690
14916963057,244600,89648
14916963057,237074,76453
50513234729,141606,85516
14479015203,331381,27
8840645687,146017,85515
13260968530,945180,103045
13260968530,246392,110225
13260968530,216514,111404
83508721481,249112,33866
8840645687,280034,33865
13260968530,248274,93010
38978350884,238612,2484
14479015203,147539,263
13260968530,249340,79692
38140981434,500000,2040
71051141912,300000,30970
26000000000,181243,4712
71051141912,300000,30969
153547875000,21002,2349
14959246242,247726,10545
1165608057900,71000,63
1553212678888,161974,77
12536902402,380270,416
18698396876,500000,2298
22247786135,180129,1276
14330682135,399078,11783
9229009237,1972009,7267
10950573799,349083,42
9229009237,1972009,16997
10229009237,1000000,85729
12131711282,975570,961
18443914864,150751,24646
210968212266,263913,828
13495413645,312782,10891
865284750000,21001,2348
493238906115,500000,1869
12159431035,308328,10853
7000425036,177848,9135
14210862823,250000,44708480
14210862823,250000,44708479
69222815151,331928,50779
12483269691,369047,740
7013490567,339822,50778
11432332900,315442,89583
31820644539,502392,222
9203012565,60667,4568
29360014854,21015,162450
16339540536,21015,105051
10162294927,229624,76450
10162294927,309526,99467
131068617090,500000,1727
9874701585,46551,124
10862181618,330295,23
10862181618,93277,22
14888066394,261368,360
16848347699,209400,11116
14524408455,256195,10186
17162895911,257152,232
28304925947,211471,11115
77076074074,125074,221030
50446249860,227790,1393
9307859417,239014,553
6418989221,243685,1392
8023736526,98748,8008
70000000000,330211,111
8023736526,99143,8007
11272911090,242526,3609
11272911090,219314,3633
11272911090,247776,10478
11272911090,554882,10892
10187284596,219300,10789
10187284596,242582,3631
91120959333,600000,1643
264829128817,500000,1793
8558902849,309534,76449
12305123599,250000,44708476
12305123599,250000,44708475
12305123599,250000,44708474
9802036619,1057794,87
117021321102,140301,85514
8832917977,287352,59
6656517362,145868,85513
15021555377,5000000,336
8260289211,338696,8782
10999746503,287389,26
14545470100,300003,162440
15022384009,300003,61996
12000000000,21000,1824
12000000000,21000,1792
18457406875,213138,1645
32604695372,340146,110222
18179498228,500000,1868
31603817779,600000,2010
12272689606,500001,8023
9204517204,243612,100413
50407168451,500000,1724
